opportunity_id,account_id,originating_lead_id,owner_rep_id,created_at,close_date,stage,amount,is_closed,is_won,is_closed_lost,opportunity_source,lead_source,region,territory_id,segment,industry,sales_cycle_days,loss_reason_id,loss_reason,loss_reason_category,controllable_loss_flag,days_in_stage,activity_count,days_since_last_activity,next_step_exists,operational_risk_score
OPP_000014,ACC_000167,LEAD_006431,REP_DACH_01,2024-04-24,2024-07-23,Closed Won,803000,1,1,0,converted_mql,Demo Request,EMEA,DACH,Enterprise,Manufacturing,90,,,,,0,13,6,0,1
OPP_000015,ACC_000760,LEAD_006452,REP_AMER_COMM_06,2024-03-20,2024-04-06,Closed Won,57000,1,1,0,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Telecommunications,17,,,,,1,7,3,0,1
OPP_000016,ACC_000473,LEAD_009011,REP_AMER_COMM_03,2024-09-17,,Negotiation,56000,0,0,0,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Energy,,,,,,19,11,1,1,1
OPP_000017,ACC_002140,LEAD_011399,REP_AMER_COMM_01,2025-05-26,,Demo,29000,0,0,0,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Financial Services,,,,,,10,7,13,1,1
OPP_000018,ACC_001096,LEAD_000863,REP_NORDICS_02,2024-04-24,,Discovery,225000,0,0,0,converted_mql,Demo Request,EMEA,NORDICS,Mid-Market,Energy,,,,,,6,10,13,1,2
OPP_000019,ACC_001409,LEAD_006508,REP_AMER_COMM_04,2024-03-06,2024-04-07,Closed Won,21000,1,1,0,converted_mql,Demo Request,AMER,LATAM,Commercial,Retail,32,,,,,0,10,5,0,2
OPP_000020,ACC_001038,LEAD_008296,REP_LATAM_03,2025-06-20,2025-08-08,Closed Lost,17000,1,0,1,converted_mql,Demo Request,AMER,LATAM,Commercial,Telecommunications,49,LR_UNRESPONSIVE,Unresponsive,Operational,1,0,4,1,0,2
OPP_000021,ACC_001393,LEAD_003336,REP_UKI_01,2024-03-02,2024-05-28,Closed Won,198000,1,1,0,converted_mql,Demo Request,EMEA,UKI,Mid-Market,Telecommunications,87,,,,,2,10,3,0,1
OPP_000022,ACC_001740,LEAD_010870,REP_DACH_01,2024-04-13,2024-07-20,Closed Won,118000,1,1,0,converted_mql,Demo Request,EMEA,DACH,Mid-Market,Technology,98,,,,,1,16,6,0,1
OPP_000023,ACC_001250,LEAD_011031,REP_AMER_MM_02,2025-05-12,2025-07-04,Closed Won,165000,1,1,0,converted_mql,Demo Request,AMER,AMER_MM,Mid-Market,Manufacturing,53,,,,,0,12,0,0,1
OPP_000024,ACC_000650,LEAD_006066,REP_AMER_ENT_01,2025-04-26,2025-07-08,Closed Won,858000,1,1,0,converted_mql,Demo Request,AMER,AMER_ENT,Enterprise,Manufacturing,73,,,,,0,10,0,0,0
OPP_000025,ACC_000869,LEAD_003549,REP_INDIA_02,2024-07-06,,Demo,227000,0,0,0,converted_mql,Demo Request,APJ,INDIA,Mid-Market,Technology,,,,,,15,12,1,1,2
OPP_000026,ACC_000369,LEAD_011117,REP_FRBNLX_03,2025-02-05,2025-03-16,Closed Won,75000,1,1,0,converted_mql,Demo Request,EMEA,FR_BENELUX,Commercial,Logistics,39,,,,,0,8,5,0,1
OPP_000027,ACC_001634,LEAD_006408,REP_FRBNLX_01,2024-06-08,2024-07-10,Closed Won,203000,1,1,0,converted_mql,Demo Request,EMEA,FR_BENELUX,Mid-Market,Healthcare,32,,,,,0,8,3,0,0
OPP_000028,ACC_000896,LEAD_000846,REP_AMER_COMM_04,2024-08-28,,Negotiation,41000,0,0,0,converted_mql,Partner Referral,AMER,AMER_COMM,Commercial,Logistics,,,,,,12,12,0,1,1
OPP_000029,ACC_000543,LEAD_003055,REP_SEU_02,2025-06-21,,Proposal,54000,0,0,0,converted_mql,Demo Request,APJ,ANZ,Commercial,Manufacturing,,,,,,24,10,9,1,2
OPP_000030,ACC_000368,LEAD_011944,REP_LATAM_01,2024-10-01,,Proposal,705000,0,0,0,converted_mql,Demo Request,AMER,LATAM,Enterprise,Energy,,,,,,12,7,0,1,1
OPP_000031,ACC_001608,LEAD_005070,REP_AMER_MM_07,2025-05-14,2025-07-05,Closed Won,121000,1,1,0,converted_mql,Demo Request,AMER,AMER_MM,Mid-Market,Financial Services,52,,,,,2,9,4,0,2
OPP_000032,ACC_001429,LEAD_002094,REP_INDIA_01,2024-05-22,,Discovery,1022000,0,0,0,converted_mql,Demo Request,APJ,INDIA,Enterprise,Technology,,,,,,10,9,12,1,1
OPP_000033,ACC_002028,LEAD_002358,REP_FRBNLX_03,2024-09-21,,Demo,25000,0,0,0,converted_mql,Demo Request,EMEA,FR_BENELUX,Commercial,Financial Services,,,,,,26,11,6,1,2
OPP_000034,ACC_001962,LEAD_011643,REP_ANZ_01,2025-06-07,,Demo,53000,0,0,0,converted_mql,Demo Request,APJ,ANZ,Commercial,Public Sector,,,,,,20,13,0,1,1
OPP_000035,ACC_000735,LEAD_010218,REP_AMER_MM_06,2024-12-16,,Demo,137000,0,0,0,converted_mql,Demo Request,AMER,AMER_MM,Mid-Market,Public Sector,,,,,,9,15,10,1,1
OPP_000036,ACC_001020,LEAD_004670,REP_AMER_COMM_07,2024-08-06,2024-09-08,Closed Won,35000,1,1,0,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Logistics,33,,,,,0,9,5,0,1
OPP_000037,ACC_000689,LEAD_002379,REP_UKI_01,2024-08-01,,Discovery,26000,0,0,0,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Healthcare,,,,,,16,14,12,1,0
OPP_000038,ACC_000119,LEAD_002863,REP_AMER_ENT_03,2024-12-04,2025-02-17,Closed Won,748000,1,1,0,converted_mql,Demo Request,AMER,AMER_ENT,Enterprise,Telecommunications,75,,,,,2,13,4,0,1
OPP_000039,ACC_001664,LEAD_006133,REP_ANZ_01,2024-10-26,,Demo,48000,0,0,0,converted_mql,Demo Request,APJ,ANZ,Commercial,Technology,,,,,,12,7,11,1,1
OPP_000040,ACC_000443,LEAD_008728,REP_AMER_COMM_05,2025-03-10,2025-05-08,Closed Won,29000,1,1,0,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Technology,59,,,,,2,17,2,0,0
OPP_000041,ACC_001947,LEAD_005704,REP_SEU_01,2025-06-10,2025-09-09,Closed Won,1098000,1,1,0,converted_mql,Demo Request,EMEA,SOUTHERN_EUROPE,Enterprise,Healthcare,91,,,,,1,9,2,0,1
OPP_000042,ACC_002128,LEAD_001640,REP_LATAM_01,2024-01-23,2024-04-24,Closed Won,804000,1,1,0,converted_mql,Demo Request,AMER,LATAM,Enterprise,Retail,92,,,,,1,19,6,0,1
OPP_000043,ACC_001183,LEAD_002359,REP_MEA_01,2024-06-30,2024-08-08,Closed Won,216000,1,1,0,converted_mql,Demo Request,EMEA,MEA,Mid-Market,Logistics,39,,,,,0,11,4,0,1
OPP_000044,ACC_000143,LEAD_003150,REP_LATAM_02,2024-11-02,2025-01-09,Closed Won,166000,1,1,0,converted_mql,Demo Request,AMER,LATAM,Mid-Market,Manufacturing,68,,,,,2,12,0,0,0
OPP_000045,ACC_000655,LEAD_002122,REP_AMER_COMM_02,2024-09-14,2024-10-31,Closed Lost,76000,1,0,1,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Energy,47,LR_SLOW_FOLLOW_UP,Slow follow-up,Operational,1,2,7,4,0,2
OPP_000046,ACC_001446,LEAD_007104,REP_ANZ_02,2024-08-20,2024-10-09,Closed Lost,167000,1,0,1,converted_mql,Demo Request,AMER,LATAM,Mid-Market,Technology,50,LR_UNRESPONSIVE,Unresponsive,Operational,1,1,14,1,0,2
OPP_000047,ACC_001295,LEAD_001493,REP_DACH_02,2024-06-26,,Proposal,120000,0,0,0,converted_mql,Demo Request,EMEA,DACH,Mid-Market,Retail,,,,,,15,15,10,1,1
OPP_000048,ACC_001075,LEAD_007420,REP_AMER_MM_07,2024-01-15,2024-03-12,Closed Won,90000,1,1,0,converted_mql,Demo Request,AMER,AMER_MM,Mid-Market,Public Sector,57,,,,,1,15,3,0,1
OPP_000049,ACC_001709,LEAD_009452,REP_UKI_01,2024-12-20,,Demo,34000,0,0,0,converted_mql,Demo Request,EMEA,UKI,Commercial,Telecommunications,,,,,,12,8,6,1,1
OPP_000050,ACC_002007,LEAD_002430,REP_SEU_02,2024-08-18,,Qualification,151000,0,0,0,converted_mql,Demo Request,EMEA,SOUTHERN_EUROPE,Mid-Market,Manufacturing,,,,,,8,6,4,1,1
OPP_000051,ACC_001764,LEAD_000768,REP_UKI_02,2025-07-06,2025-09-05,Closed Won,337000,1,1,0,converted_mql,Demo Request,EMEA,UKI,Enterprise,Technology,61,,,,,0,12,4,0,2
OPP_000052,ACC_001368,LEAD_008976,REP_ANZ_01,2024-09-20,,Proposal,51000,0,0,0,converted_mql,Demo Request,APJ,ANZ,Commercial,Telecommunications,,,,,,26,7,11,1,1
OPP_000053,ACC_000959,LEAD_009298,REP_FRBNLX_03,2025-05-24,,Discovery,213000,0,0,0,converted_mql,Demo Request,EMEA,FR_BENELUX,Mid-Market,Logistics,,,,,,12,9,10,1,1
OPP_000054,ACC_000764,LEAD_009107,REP_AMER_COMM_04,2025-01-11,2025-03-11,Closed Won,212000,1,1,0,converted_mql,Demo Request,EMEA,SOUTHERN_EUROPE,Mid-Market,Education,59,,,,,2,11,5,0,1
OPP_000055,ACC_000565,LEAD_006231,REP_DACH_03,2025-03-10,2025-04-19,Closed Won,280000,1,1,0,converted_mql,Demo Request,EMEA,DACH,Mid-Market,Healthcare,40,,,,,1,7,5,0,1
OPP_000056,ACC_000236,LEAD_003855,REP_ANZ_01,2024-09-03,2024-10-24,Closed Lost,45000,1,0,1,converted_mql,Demo Request,APJ,ANZ,Commercial,Energy,51,LR_TECHNICAL_MISMATCH,Technical requirements mismatch,Product Fit,0,2,8,5,0,1
OPP_000057,ACC_000338,LEAD_009152,REP_AMER_COMM_06,2024-10-01,2024-11-14,Closed Lost,64000,1,0,1,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Technology,44,LR_SLOW_FOLLOW_UP,Slow follow-up,Operational,1,0,16,5,0,2
OPP_000058,ACC_001288,LEAD_007901,REP_AMER_COMM_06,2025-02-18,2025-04-21,Closed Won,183000,1,1,0,converted_mql,Demo Request,AMER,AMER_MM,Mid-Market,Financial Services,62,,,,,1,8,6,0,1
OPP_000059,ACC_000560,LEAD_003533,REP_AMER_ENT_07,2024-08-25,2024-11-17,Closed Lost,863000,1,0,1,converted_mql,Demo Request,AMER,AMER_ENT,Enterprise,Education,84,LR_COMPETITOR_SELECTED,Competitor selected,Competitive,0,1,11,3,0,2
OPP_000060,ACC_000237,LEAD_006365,REP_AMER_MM_03,2024-07-04,2024-08-17,Closed Won,222000,1,1,0,converted_mql,Demo Request,AMER,AMER_MM,Mid-Market,Healthcare,44,,,,,2,13,1,0,1
OPP_000061,ACC_001336,LEAD_007998,REP_AMER_ENT_08,2025-06-18,,Demo,137000,0,0,0,converted_mql,Demo Request,AMER,AMER_MM,Mid-Market,Technology,,,,,,18,10,3,1,0
OPP_000062,ACC_002141,LEAD_006120,REP_NORDICS_01,2024-06-10,,Discovery,52000,0,0,0,converted_mql,Demo Request,EMEA,NORDICS,Commercial,Healthcare,,,,,,3,13,13,1,1
OPP_000063,ACC_002214,LEAD_008932,REP_AMER_COMM_07,2024-07-18,,Proposal,31000,0,0,0,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Retail,,,,,,29,12,5,1,1
OPP_000064,ACC_001394,LEAD_011457,REP_AMER_COMM_04,2024-09-14,,Negotiation,43000,0,0,0,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Education,,,,,,14,11,12,1,2
OPP_000065,ACC_002167,LEAD_004219,REP_UKI_03,2024-11-28,2025-01-30,Closed Lost,43000,1,0,1,converted_mql,Demo Request,EMEA,UKI,Commercial,Education,63,LR_MISSING_DECISION_MAKER,Missing decision maker,Operational,1,1,12,5,0,3
OPP_000066,ACC_002170,LEAD_004040,REP_MEA_01,2024-04-14,,Demo,141000,0,0,0,converted_mql,Demo Request,EMEA,MEA,Mid-Market,Education,,,,,,12,5,12,1,1
OPP_000067,ACC_002149,LEAD_010305,REP_AMER_MM_04,2024-03-08,,Proposal,551000,0,0,0,converted_mql,Demo Request,AMER,AMER_ENT,Enterprise,Healthcare,,,,,,19,11,4,1,2
OPP_000068,ACC_001334,LEAD_008512,REP_AMER_COMM_03,2025-06-30,2025-07-27,Closed Lost,23000,1,0,1,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Manufacturing,27,LR_UNRESPONSIVE,Unresponsive,Operational,1,2,1,6,0,4
OPP_000069,ACC_001491,LEAD_001210,REP_FRBNLX_01,2025-03-14,,Negotiation,52000,0,0,0,converted_mql,Demo Request,EMEA,FR_BENELUX,Commercial,Technology,,,,,,23,13,7,1,1
OPP_000070,ACC_001208,LEAD_011077,REP_JPKR_01,2024-03-31,,Demo,101000,0,0,0,converted_mql,Demo Request,APJ,JAPAN_KOREA,Mid-Market,Healthcare,,,,,,17,12,9,1,1
OPP_000071,ACC_000029,LEAD_005748,REP_ANZ_02,2024-09-17,,Discovery,25000,0,0,0,converted_mql,Demo Request,APJ,ANZ,Commercial,Financial Services,,,,,,8,5,2,1,1
OPP_000072,ACC_001149,LEAD_005921,REP_AMER_COMM_03,2025-01-06,,Negotiation,15000,0,0,0,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Logistics,,,,,,21,11,8,1,1
OPP_000073,ACC_000533,LEAD_011947,REP_AMER_MM_01,2024-07-19,,Negotiation,64000,0,0,0,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Technology,,,,,,22,14,5,0,2
OPP_000074,ACC_000978,LEAD_008070,REP_DACH_03,2024-06-20,,Proposal,54000,0,0,0,converted_mql,Demo Request,EMEA,DACH,Mid-Market,Healthcare,,,,,,26,9,5,1,1
OPP_000075,ACC_001295,LEAD_009566,REP_DACH_02,2024-11-12,2025-01-09,Closed Won,214000,1,1,0,converted_mql,Demo Request,EMEA,DACH,Mid-Market,Retail,58,,,,,1,8,0,0,1
OPP_000076,ACC_000731,LEAD_008684,REP_MEA_02,2024-09-18,2024-11-28,Closed Lost,326000,1,0,1,converted_mql,Demo Request,EMEA,MEA,Mid-Market,Telecommunications,71,LR_TIMING,Timing,Timing,0,2,8,3,0,2
OPP_000077,ACC_000143,LEAD_005275,REP_LATAM_02,2024-01-15,,Proposal,205000,0,0,0,converted_mql,Demo Request,AMER,LATAM,Mid-Market,Manufacturing,,,,,,11,11,5,1,1
OPP_000078,ACC_000640,LEAD_010358,REP_DACH_02,2025-06-28,,Qualification,164000,0,0,0,converted_mql,Demo Request,EMEA,DACH,Mid-Market,Healthcare,,,,,,9,10,7,1,2
OPP_000079,ACC_001210,LEAD_007614,REP_AMER_MM_03,2024-02-26,,Discovery,52000,0,0,0,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Technology,,,,,,14,11,5,1,1
OPP_000080,ACC_000799,LEAD_009583,REP_SEA_02,2024-11-25,2024-12-17,Closed Won,68000,1,1,0,converted_mql,Demo Request,APJ,SEA,Commercial,Healthcare,22,,,,,1,9,3,0,0
OPP_000081,ACC_002205,LEAD_000166,REP_MEA_02,2025-07-03,2025-09-30,Closed Lost,154000,1,0,1,converted_mql,Demo Request,EMEA,MEA,Mid-Market,Telecommunications,89,LR_POOR_FIT,Poor fit,Qualification,1,0,11,1,0,3
OPP_000082,ACC_000697,LEAD_006757,REP_AMER_ENT_07,2025-04-21,,Proposal,8000,0,0,0,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Technology,,,,,,15,10,7,1,1
OPP_000083,ACC_000849,LEAD_010818,REP_AMER_COMM_02,2024-09-21,,Discovery,28000,0,0,0,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Manufacturing,,,,,,8,8,4,1,1
OPP_000084,ACC_000680,LEAD_001470,REP_LATAM_02,2025-07-03,,Demo,269000,0,0,0,converted_mql,Demo Request,AMER,LATAM,Mid-Market,Healthcare,,,,,,19,8,0,1,1
OPP_000085,ACC_000680,LEAD_001517,REP_LATAM_02,2024-08-12,2024-09-20,Closed Lost,222000,1,0,1,converted_mql,Demo Request,AMER,LATAM,Mid-Market,Healthcare,39,LR_TECHNICAL_MISMATCH,Technical requirements mismatch,Product Fit,0,1,6,3,0,3
OPP_000086,ACC_001814,LEAD_002028,REP_AMER_MM_05,2025-03-24,,Discovery,113000,0,0,0,converted_mql,Demo Request,AMER,AMER_MM,Mid-Market,Financial Services,,,,,,17,15,5,1,1
OPP_000087,ACC_001348,LEAD_002693,REP_AMER_MM_07,2025-06-10,2025-08-02,Closed Lost,131000,1,0,1,converted_mql,Demo Request,AMER,AMER_MM,Mid-Market,Healthcare,53,LR_UNRESPONSIVE,Unresponsive,Operational,1,2,10,1,0,3
OPP_000088,ACC_001328,LEAD_005962,REP_AMER_MM_03,2025-04-03,2025-05-21,Closed Won,189000,1,1,0,converted_mql,Demo Request,AMER,AMER_MM,Mid-Market,Public Sector,48,,,,,2,9,6,0,0
OPP_000089,ACC_001761,LEAD_002420,REP_UKI_02,2024-05-01,2024-06-14,Closed Won,899000,1,1,0,converted_mql,Demo Request,EMEA,UKI,Enterprise,Energy,44,,,,,1,10,6,0,1
OPP_000090,ACC_000623,LEAD_001261,REP_AMER_MM_07,2024-10-25,2024-12-27,Closed Lost,113000,1,0,1,converted_mql,Demo Request,AMER,AMER_MM,Mid-Market,Education,63,LR_MISSING_DECISION_MAKER,Missing decision maker,Operational,1,1,2,2,0,5
OPP_000091,ACC_000595,LEAD_003105,REP_AMER_COMM_04,2024-12-25,,Proposal,41000,0,0,0,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Technology,,,,,,5,12,11,1,1
OPP_000092,ACC_000232,LEAD_003579,REP_AMER_MM_07,2024-12-23,,Proposal,177000,0,0,0,converted_mql,Demo Request,AMER,AMER_MM,Mid-Market,Healthcare,,,,,,15,11,13,1,2
OPP_000093,ACC_001238,LEAD_001930,REP_INDIA_02,2024-06-30,2024-10-06,Closed Lost,668000,1,0,1,converted_mql,Partner Referral,APJ,INDIA,Enterprise,Manufacturing,98,LR_POOR_FIT,Poor fit,Qualification,1,1,7,2,0,2
OPP_000094,ACC_001004,LEAD_010267,REP_AMER_ENT_03,2025-06-29,2025-09-10,Closed Won,694000,1,1,0,converted_mql,Demo Request,AMER,AMER_ENT,Enterprise,Logistics,73,,,,,2,12,5,0,2
OPP_000095,ACC_001423,LEAD_005513,REP_ANZ_02,2025-06-07,,Demo,573000,0,0,0,converted_mql,Demo Request,EMEA,UKI,Enterprise,Manufacturing,,,,,,11,6,11,1,1
OPP_000096,ACC_000069,LEAD_010949,REP_DACH_02,2025-03-07,2025-04-08,Closed Won,257000,1,1,0,converted_mql,Demo Request,EMEA,DACH,Mid-Market,Logistics,32,,,,,1,9,0,0,1
OPP_000097,ACC_000647,LEAD_002649,REP_DACH_02,2024-11-20,,Proposal,41000,0,0,0,converted_mql,Demo Request,EMEA,DACH,Commercial,Telecommunications,,,,,,14,12,1,1,0
OPP_000098,ACC_001356,LEAD_011843,REP_ANZ_02,2025-03-04,2025-04-10,Closed Won,70000,1,1,0,converted_mql,Demo Request,APJ,ANZ,Commercial,Technology,37,,,,,0,13,1,0,1
OPP_000099,ACC_000772,LEAD_003850,REP_UKI_03,2025-05-19,2025-09-03,Closed Won,107000,1,1,0,converted_mql,Partner Referral,EMEA,UKI,Mid-Market,Technology,107,,,,,1,11,5,0,1
OPP_000100,ACC_000924,LEAD_003542,REP_AMER_MM_05,2025-01-10,,Demo,188000,0,0,0,converted_mql,Demo Request,AMER,AMER_MM,Mid-Market,Retail,,,,,,13,10,11,1,1
OPP_000101,ACC_001282,LEAD_006610,REP_INDIA_03,2025-03-29,,Negotiation,131000,0,0,0,converted_mql,Demo Request,APJ,INDIA,Mid-Market,Telecommunications,,,,,,29,9,8,1,1
OPP_000102,ACC_001998,LEAD_011113,REP_AMER_MM_07,2024-07-23,2024-10-06,Closed Won,135000,1,1,0,converted_mql,Demo Request,AMER,AMER_MM,Mid-Market,Financial Services,75,,,,,0,17,1,0,1
OPP_000103,ACC_001454,LEAD_004852,REP_MEA_02,2024-04-06,2024-05-06,Closed Lost,219000,1,0,1,converted_mql,Demo Request,EMEA,MEA,Mid-Market,Retail,30,LR_MISSING_DECISION_MAKER,Missing decision maker,Operational,1,1,12,4,0,2
OPP_000104,ACC_000832,LEAD_001874,REP_ANZ_02,2024-01-13,2024-02-10,Closed Lost,51000,1,0,1,converted_mql,Demo Request,APJ,ANZ,Commercial,Healthcare,28,LR_COMPETITOR_SELECTED,Competitor selected,Competitive,0,1,10,6,0,1
OPP_000105,ACC_000247,LEAD_003128,REP_AMER_MM_03,2024-12-10,,Proposal,102000,0,0,0,converted_mql,Demo Request,AMER,AMER_MM,Mid-Market,Energy,,,,,,31,9,5,1,2
OPP_000106,ACC_000342,LEAD_004465,REP_FRBNLX_03,2024-08-24,2024-09-22,Closed Won,50000,1,1,0,converted_mql,Demo Request,EMEA,FR_BENELUX,Commercial,Financial Services,29,,,,,1,16,4,0,1
OPP_000107,ACC_001024,LEAD_007251,REP_UKI_03,2024-08-21,2024-08-31,Closed Lost,32000,1,0,1,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Education,10,LR_MISSING_DECISION_MAKER,Missing decision maker,Operational,1,2,13,0,0,2
OPP_000108,ACC_000032,LEAD_007308,REP_AMER_COMM_05,2025-06-13,,Demo,30000,0,0,0,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Healthcare,,,,,,11,9,10,1,0
OPP_000109,ACC_000932,LEAD_006179,REP_FRBNLX_03,2024-08-20,,Demo,194000,0,0,0,converted_mql,Demo Request,EMEA,FR_BENELUX,Enterprise,Education,,,,,,5,11,10,1,1
OPP_000110,ACC_001617,LEAD_000533,REP_SEU_01,2025-05-21,2025-09-03,Closed Lost,437000,1,0,1,converted_mql,Demo Request,EMEA,SOUTHERN_EUROPE,Enterprise,Telecommunications,105,LR_UNRESPONSIVE,Unresponsive,Operational,1,2,7,1,0,3
OPP_000111,ACC_000279,LEAD_009839,REP_AMER_COMM_01,2024-02-10,2024-03-10,Closed Lost,71000,1,0,1,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Manufacturing,29,LR_NO_DECISION,No decision,Timing,0,0,14,3,0,1
OPP_000112,ACC_001570,LEAD_007533,REP_AMER_COMM_08,2024-08-02,,Negotiation,15000,0,0,0,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Retail,,,,,,21,7,7,1,1
OPP_000113,ACC_001866,LEAD_003015,REP_JPKR_01,2025-06-21,,Proposal,243000,0,0,0,converted_mql,Demo Request,APJ,JAPAN_KOREA,Mid-Market,Healthcare,,,,,,20,12,12,1,2
OPP_000114,ACC_002099,LEAD_006448,REP_FRBNLX_03,2025-07-02,2025-08-16,Closed Lost,242000,1,0,1,converted_mql,Demo Request,EMEA,FR_BENELUX,Mid-Market,Manufacturing,45,LR_NO_DECISION,No decision,Timing,0,2,10,6,0,0
OPP_000115,ACC_000699,LEAD_006624,REP_ANZ_01,2024-10-16,2024-12-04,Closed Won,303000,1,1,0,converted_mql,Demo Request,APJ,ANZ,Mid-Market,Retail,49,,,,,1,17,5,0,0
OPP_000116,ACC_001469,LEAD_000006,REP_SEA_02,2024-09-21,,Proposal,19000,0,0,0,converted_mql,Demo Request,APJ,SEA,Commercial,Healthcare,,,,,,27,8,6,1,1
OPP_000117,ACC_000718,LEAD_010321,REP_DACH_02,2024-06-03,,Negotiation,53000,0,0,0,converted_mql,Demo Request,EMEA,DACH,Commercial,Financial Services,,,,,,16,6,10,1,0
OPP_000118,ACC_000937,LEAD_009293,REP_ANZ_02,2025-06-23,2025-06-30,Closed Won,38000,1,1,0,converted_mql,Demo Request,APJ,ANZ,Commercial,Manufacturing,7,,,,,2,8,4,0,0
OPP_000119,ACC_000240,LEAD_003809,REP_AMER_COMM_05,2024-12-24,2025-01-28,Closed Lost,19000,1,0,1,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Energy,35,LR_POOR_FIT,Poor fit,Qualification,1,1,10,5,0,1
OPP_000120,ACC_000080,LEAD_007848,REP_AMER_MM_04,2025-05-28,,Discovery,201000,0,0,0,converted_mql,Demo Request,AMER,AMER_MM,Mid-Market,Technology,,,,,,23,16,5,1,3
