ticket_id,created_at,resolved_at,ticket_category,priority,requester_role,initial_team_selected,final_owner_team,triage_method,ai_confidence_score,reassignment_required,reassignment_delay_hours,hours_to_first_action,hours_to_resolution,sla_policy_id,sla_target_hours,sla_due_at,sla_met,sla_breached,post_ai_launch
TICK_000024,2024-09-10 22:24:00,2024-09-12 14:24:00,forecasting_support,P3,marketing_ops,Sales Ops,Sales Ops,manual_picklist,,0,0.0,6.5,40.0,SLA_FORECASTING_SUPPORT_P3,72,2024-09-13 22:24:00,1,0,0
TICK_000025,2024-08-02 03:03:00,2024-08-03 06:33:00,forecasting_support,P2,sales_development,Sales Ops,Sales Ops,manual_picklist,,0,0.0,4.5,27.5,SLA_FORECASTING_SUPPORT_P2,24,2024-08-03 03:03:00,0,1,0
TICK_000026,2024-06-25 10:19:00,2024-07-01 11:25:00,forecasting_support,P4,sales_rep,Sales Ops,Sales Ops,manual_picklist,,0,0.0,11.4,145.1,SLA_FORECASTING_SUPPORT_P4,120,2024-06-30 10:19:00,0,1,0
TICK_000027,2024-04-20 06:28:00,2024-04-21 00:04:00,data_quality,P2,sales_ops,Sales Ops,Sales Ops,manual_picklist,,0,0.0,3.2,17.6,SLA_DATA_QUALITY_P2,24,2024-04-21 06:28:00,1,0,0
TICK_000028,2024-08-13 10:56:00,2024-08-15 17:56:00,account_ownership,P4,sales_development,Sales Ops,Sales Ops,manual_picklist,,0,0.0,5.9,55.0,SLA_ACCOUNT_OWNERSHIP_P4,120,2024-08-18 10:56:00,1,0,0
TICK_000029,2024-05-29 10:05:00,2024-06-02 10:11:00,reporting_request,P3,sales_rep,Sales Ops,Sales Ops,manual_picklist,,0,0.0,3.3,96.1,SLA_REPORTING_REQUEST_P3,72,2024-06-01 10:05:00,0,1,0
TICK_000030,2024-05-01 11:34:00,2024-05-01 22:04:00,lead_routing,P2,sales_manager,Sales Ops,Sales Ops,manual_picklist,,0,0.0,4.2,10.5,SLA_LEAD_ROUTING_P2,24,2024-05-02 11:34:00,1,0,0
TICK_000031,2024-05-03 10:54:00,2024-05-05 08:06:00,lead_routing,P3,marketing_ops,Sales Ops,Sales Ops,manual_picklist,,0,0.0,6.7,45.2,SLA_LEAD_ROUTING_P3,72,2024-05-06 10:54:00,1,0,0
TICK_000032,2024-03-03 06:48:00,2024-03-05 18:54:00,field_sync_issue,P3,sales_development,CRM Eng,CRM Eng,manual_picklist,,0,0.0,3.2,60.1,SLA_FIELD_SYNC_ISSUE_P3,72,2024-03-06 06:48:00,1,0,0
TICK_000033,2024-01-26 05:55:00,2024-01-26 08:31:00,lead_routing,P1,sales_manager,Sales Ops,Sales Ops,manual_picklist,,0,0.0,0.5,2.6,SLA_LEAD_ROUTING_P1,4,2024-01-26 09:55:00,1,0,0
TICK_000034,2024-05-31 22:10:00,2024-06-04 10:10:00,data_quality,P3,sales_rep,Sales Ops,Sales Ops,manual_picklist,,0,0.0,6.1,84.0,SLA_DATA_QUALITY_P3,72,2024-06-03 22:10:00,0,1,0
TICK_000035,2024-08-31 06:48:00,2024-09-03 17:00:00,forecasting_support,P3,sales_ops,Sales Ops,Sales Ops,manual_picklist,,0,0.0,6.3,82.2,SLA_FORECASTING_SUPPORT_P3,72,2024-09-03 06:48:00,0,1,0
TICK_000036,2024-01-18 11:58:00,2024-01-19 14:10:00,territory_assignment,P2,sales_development,CRM Eng,Sales Ops,manual_picklist,,1,10.3,8.1,26.2,SLA_TERRITORY_ASSIGNMENT_P2,24,2024-01-19 11:58:00,0,1,0
TICK_000037,2024-08-23 04:19:00,2024-08-23 12:13:00,quote_order_issue,P2,sales_rep,Order Ops,Order Ops,manual_picklist,,0,0.0,1.8,7.9,SLA_QUOTE_ORDER_ISSUE_P2,24,2024-08-24 04:19:00,1,0,0
TICK_000038,2024-08-14 18:29:00,2024-08-15 08:47:00,territory_assignment,P2,sales_rep,CRM Eng,Sales Ops,manual_picklist,,1,3.4,3.6,14.3,SLA_TERRITORY_ASSIGNMENT_P2,24,2024-08-15 18:29:00,1,0,0
TICK_000039,2024-03-16 19:31:00,2024-03-20 22:49:00,quote_order_issue,P3,customer_success,CRM Eng,Order Ops,manual_picklist,,1,22.7,13.9,99.3,SLA_QUOTE_ORDER_ISSUE_P3,72,2024-03-19 19:31:00,0,1,0
TICK_000040,2024-06-22 01:29:00,2024-06-24 04:59:00,automation_bug,P2,legal,Sales Ops,CRM Eng,manual_picklist,,1,31.0,15.0,51.5,SLA_AUTOMATION_BUG_P2,24,2024-06-23 01:29:00,0,1,0
TICK_000041,2024-02-15 06:17:00,2024-02-17 04:35:00,territory_assignment,P3,sales_manager,Sales Ops,Sales Ops,manual_picklist,,0,0.0,6.9,46.3,SLA_TERRITORY_ASSIGNMENT_P3,72,2024-02-18 06:17:00,1,0,0
TICK_000042,2024-07-26 17:58:00,2024-07-28 11:10:00,territory_assignment,P3,sales_development,Sales Ops,Sales Ops,manual_picklist,,0,0.0,3.1,41.2,SLA_TERRITORY_ASSIGNMENT_P3,72,2024-07-29 17:58:00,1,0,0
TICK_000043,2024-07-10 22:57:00,2024-07-15 14:45:00,account_ownership,P3,sales_rep,Order Ops,Sales Ops,manual_picklist,,1,27.3,16.7,111.8,SLA_ACCOUNT_OWNERSHIP_P3,72,2024-07-13 22:57:00,0,1,0
TICK_000044,2024-04-07 03:22:00,2024-04-08 09:16:00,opportunity_update,P2,legal,Order Ops,Sales Ops,manual_picklist,,1,17.0,9.0,29.9,SLA_OPPORTUNITY_UPDATE_P2,24,2024-04-08 03:22:00,0,1,0
TICK_000045,2024-01-19 14:48:00,2024-01-22 15:12:00,territory_assignment,P3,sales_rep,Sales Ops,Sales Ops,manual_picklist,,0,0.0,5.9,72.4,SLA_TERRITORY_ASSIGNMENT_P3,72,2024-01-22 14:48:00,0,1,0
TICK_000046,2024-09-22 23:23:00,2024-09-25 15:28:59,contracting_issue,P3,customer_success,Order Ops,Order Ops,manual_picklist,,0,0.0,5.3,64.1,SLA_CONTRACTING_ISSUE_P3,72,2024-09-25 23:23:00,1,0,0
TICK_000047,2024-05-02 02:47:00,2024-05-07 08:53:00,territory_assignment,P4,sales_development,Sales Ops,Sales Ops,manual_picklist,,0,0.0,8.0,126.1,SLA_TERRITORY_ASSIGNMENT_P4,120,2024-05-07 02:47:00,0,1,0
TICK_000048,2024-09-01 17:35:00,2024-09-01 21:35:00,field_sync_issue,P1,sales_manager,CRM Eng,CRM Eng,manual_picklist,,0,0.0,0.9,4.0,SLA_FIELD_SYNC_ISSUE_P1,4,2024-09-01 21:35:00,1,0,0
TICK_000049,2024-07-04 17:28:00,2024-07-06 11:04:00,territory_assignment,P2,sales_manager,CRM Eng,Sales Ops,manual_picklist,,1,26.2,14.3,41.6,SLA_TERRITORY_ASSIGNMENT_P2,24,2024-07-05 17:28:00,0,1,0
TICK_000050,2024-08-01 06:07:00,2024-08-01 23:37:00,contracting_issue,P2,sales_rep,Order Ops,Order Ops,manual_picklist,,0,0.0,1.6,17.5,SLA_CONTRACTING_ISSUE_P2,24,2024-08-02 06:07:00,1,0,0
TICK_000051,2024-07-27 05:39:00,2024-07-27 20:27:00,territory_assignment,P2,finance,Sales Ops,Sales Ops,manual_picklist,,0,0.0,0.6,14.8,SLA_TERRITORY_ASSIGNMENT_P2,24,2024-07-28 05:39:00,1,0,0
TICK_000052,2024-02-23 07:19:00,2024-02-25 17:01:00,opportunity_update,P3,legal,Sales Ops,Sales Ops,manual_picklist,,0,0.0,6.3,57.7,SLA_OPPORTUNITY_UPDATE_P3,72,2024-02-26 07:19:00,1,0,0
TICK_000053,2024-04-09 17:13:00,2024-04-09 20:07:00,reporting_request,P1,customer_success,Sales Ops,Sales Ops,manual_picklist,,0,0.0,0.6,2.9,SLA_REPORTING_REQUEST_P1,4,2024-04-09 21:13:00,1,0,0
TICK_000054,2024-05-07 21:11:00,2024-05-08 14:04:59,lead_routing,P2,finance,Sales Ops,Sales Ops,manual_picklist,,0,0.0,2.4,16.9,SLA_LEAD_ROUTING_P2,24,2024-05-08 21:11:00,1,0,0
TICK_000055,2024-05-16 09:58:00,2024-05-19 23:28:00,field_sync_issue,P3,sales_ops,CRM Eng,CRM Eng,manual_picklist,,0,0.0,5.8,85.5,SLA_FIELD_SYNC_ISSUE_P3,72,2024-05-19 09:58:00,0,1,0
TICK_000056,2024-01-13 00:06:00,2024-01-14 09:36:00,account_ownership,P3,sales_development,Sales Ops,Sales Ops,manual_picklist,,0,0.0,6.0,33.5,SLA_ACCOUNT_OWNERSHIP_P3,72,2024-01-16 00:06:00,1,0,0
TICK_000057,2024-05-29 18:47:00,2024-06-03 06:41:00,reporting_request,P4,sales_manager,Sales Ops,Sales Ops,manual_picklist,,0,0.0,29.5,107.9,SLA_REPORTING_REQUEST_P4,120,2024-06-03 18:47:00,1,0,0
TICK_000058,2024-02-12 06:51:00,2024-02-17 17:02:59,reporting_request,P3,sales_ops,CRM Eng,Sales Ops,manual_picklist,,1,19.0,12.0,130.2,SLA_REPORTING_REQUEST_P3,72,2024-02-15 06:51:00,0,1,0
TICK_000059,2024-07-22 16:01:00,2024-07-25 16:25:00,forecasting_support,P3,sales_rep,CRM Eng,Sales Ops,manual_picklist,,1,11.2,10.7,72.4,SLA_FORECASTING_SUPPORT_P3,72,2024-07-25 16:01:00,0,1,0
TICK_000060,2024-07-06 03:35:00,2024-07-07 17:05:00,lead_routing,P2,sales_ops,Order Ops,Sales Ops,manual_picklist,,1,19.3,11.3,37.5,SLA_LEAD_ROUTING_P2,24,2024-07-07 03:35:00,0,1,0
TICK_000061,2024-09-09 18:34:00,2024-09-10 10:46:00,territory_assignment,P1,sales_manager,Order Ops,Sales Ops,manual_picklist,,1,13.5,6.3,16.2,SLA_TERRITORY_ASSIGNMENT_P1,4,2024-09-09 22:34:00,0,1,0
TICK_000062,2024-07-23 01:21:00,2024-07-24 15:45:00,territory_assignment,P2,sales_rep,Order Ops,Sales Ops,manual_picklist,,1,22.2,12.9,38.4,SLA_TERRITORY_ASSIGNMENT_P2,24,2024-07-24 01:21:00,0,1,0
TICK_000063,2024-04-10 11:40:00,2024-04-10 15:34:00,account_ownership,P1,sales_rep,Sales Ops,Sales Ops,manual_picklist,,0,0.0,0.3,3.9,SLA_ACCOUNT_OWNERSHIP_P1,4,2024-04-10 15:40:00,1,0,0
TICK_000064,2024-09-22 02:24:00,2024-09-22 17:12:00,territory_assignment,P2,sales_rep,Sales Ops,Sales Ops,manual_picklist,,0,0.0,1.5,14.8,SLA_TERRITORY_ASSIGNMENT_P2,24,2024-09-23 02:24:00,1,0,0
TICK_000065,2024-04-22 13:26:00,2024-04-23 12:14:00,quote_order_issue,P2,sales_development,Order Ops,Order Ops,manual_picklist,,0,0.0,1.3,22.8,SLA_QUOTE_ORDER_ISSUE_P2,24,2024-04-23 13:26:00,1,0,0
TICK_000066,2024-03-30 06:25:00,2024-04-01 22:25:00,data_quality,P3,sales_rep,Sales Ops,Sales Ops,manual_picklist,,0,0.0,3.6,64.0,SLA_DATA_QUALITY_P3,72,2024-04-02 06:25:00,1,0,0
TICK_000067,2024-09-05 02:48:00,2024-09-09 16:36:00,forecasting_support,P4,sales_rep,Order Ops,Sales Ops,manual_picklist,,1,18.0,19.3,109.8,SLA_FORECASTING_SUPPORT_P4,120,2024-09-10 02:48:00,1,0,0
TICK_000068,2024-04-11 12:37:00,2024-04-13 03:01:00,opportunity_update,P3,sales_development,Sales Ops,Sales Ops,manual_picklist,,0,0.0,7.5,38.4,SLA_OPPORTUNITY_UPDATE_P3,72,2024-04-14 12:37:00,1,0,0
TICK_000069,2024-01-21 22:22:00,2024-01-25 02:40:00,account_ownership,P3,legal,Order Ops,Sales Ops,manual_picklist,,1,7.9,7.6,76.3,SLA_ACCOUNT_OWNERSHIP_P3,72,2024-01-24 22:22:00,0,1,0
TICK_000070,2024-05-08 15:55:00,2024-05-10 07:25:00,data_quality,P2,sales_manager,Sales Ops,Sales Ops,manual_picklist,,0,0.0,4.7,39.5,SLA_DATA_QUALITY_P2,24,2024-05-09 15:55:00,0,1,0
TICK_000071,2024-08-06 00:48:00,2024-08-06 18:11:59,account_ownership,P2,finance,Sales Ops,Sales Ops,manual_picklist,,0,0.0,1.6,17.4,SLA_ACCOUNT_OWNERSHIP_P2,24,2024-08-07 00:48:00,1,0,0
TICK_000072,2024-02-21 21:55:00,2024-02-23 05:25:00,account_ownership,P2,sales_development,Order Ops,Sales Ops,manual_picklist,,1,13.9,7.3,31.5,SLA_ACCOUNT_OWNERSHIP_P2,24,2024-02-22 21:55:00,0,1,0
TICK_000073,2024-05-06 20:43:00,2024-05-08 00:31:00,data_quality,P2,legal,Order Ops,Sales Ops,manual_picklist,,1,3.6,5.1,27.8,SLA_DATA_QUALITY_P2,24,2024-05-07 20:43:00,0,1,0
TICK_000074,2024-02-05 14:23:00,2024-02-08 14:28:59,data_quality,P3,sales_rep,Sales Ops,Sales Ops,manual_picklist,,0,0.0,10.1,72.1,SLA_DATA_QUALITY_P3,72,2024-02-08 14:23:00,0,1,0
TICK_000075,2024-07-07 02:46:00,2024-07-10 12:46:00,contracting_issue,P3,customer_success,Order Ops,Order Ops,manual_picklist,,0,0.0,8.1,82.0,SLA_CONTRACTING_ISSUE_P3,72,2024-07-10 02:46:00,0,1,0
TICK_000076,2024-05-10 08:19:00,2024-05-13 04:49:00,territory_assignment,P3,sales_ops,CRM Eng,Sales Ops,manual_picklist,,1,3.6,4.6,68.5,SLA_TERRITORY_ASSIGNMENT_P3,72,2024-05-13 08:19:00,1,0,0
TICK_000077,2024-03-31 11:16:00,2024-04-03 21:34:00,data_quality,P3,sales_development,Sales Ops,Sales Ops,manual_picklist,,0,0.0,1.5,82.3,SLA_DATA_QUALITY_P3,72,2024-04-03 11:16:00,0,1,0
TICK_000078,2024-03-03 04:27:00,2024-03-06 00:57:00,territory_assignment,P3,sales_rep,Sales Ops,Sales Ops,manual_picklist,,0,0.0,8.4,68.5,SLA_TERRITORY_ASSIGNMENT_P3,72,2024-03-06 04:27:00,1,0,0
TICK_000079,2024-06-03 16:58:00,2024-06-06 22:10:00,account_ownership,P3,customer_success,CRM Eng,Sales Ops,manual_picklist,,1,24.5,12.6,77.2,SLA_ACCOUNT_OWNERSHIP_P3,72,2024-06-06 16:58:00,0,1,0
TICK_000080,2024-07-02 12:34:00,2024-07-04 07:28:00,user_access,P3,customer_success,CRM Eng,CRM Eng,manual_picklist,,0,0.0,2.6,42.9,SLA_USER_ACCESS_P3,72,2024-07-05 12:34:00,1,0,0
TICK_000081,2024-09-14 15:23:00,2024-09-15 08:41:00,territory_assignment,P2,sales_rep,Sales Ops,Sales Ops,manual_picklist,,0,0.0,1.4,17.3,SLA_TERRITORY_ASSIGNMENT_P2,24,2024-09-15 15:23:00,1,0,0
TICK_000082,2024-04-29 18:27:00,2024-05-06 11:09:00,reporting_request,P4,sales_manager,Order Ops,Sales Ops,manual_picklist,,1,20.0,17.8,160.7,SLA_REPORTING_REQUEST_P4,120,2024-05-04 18:27:00,0,1,0
TICK_000083,2024-02-14 00:17:00,2024-02-17 12:29:00,opportunity_update,P4,sales_development,Sales Ops,Sales Ops,manual_picklist,,0,0.0,15.4,84.2,SLA_OPPORTUNITY_UPDATE_P4,120,2024-02-19 00:17:00,1,0,0
TICK_000084,2024-08-16 03:39:00,2024-08-17 03:39:00,lead_routing,P2,legal,Sales Ops,Sales Ops,manual_picklist,,0,0.0,3.4,24.0,SLA_LEAD_ROUTING_P2,24,2024-08-17 03:39:00,1,0,0
TICK_000085,2024-06-21 13:21:00,2024-06-21 22:45:00,quote_order_issue,P1,marketing_ops,CRM Eng,Order Ops,manual_picklist,,1,6.2,3.2,9.4,SLA_QUOTE_ORDER_ISSUE_P1,4,2024-06-21 17:21:00,0,1,0
TICK_000086,2024-07-10 20:33:00,2024-07-12 11:57:00,opportunity_update,P3,sales_manager,Sales Ops,Sales Ops,manual_picklist,,0,0.0,7.3,39.4,SLA_OPPORTUNITY_UPDATE_P3,72,2024-07-13 20:33:00,1,0,0
TICK_000087,2024-01-27 15:22:00,2024-01-31 20:58:00,automation_bug,P3,sales_manager,CRM Eng,CRM Eng,manual_picklist,,0,0.0,4.2,101.6,SLA_AUTOMATION_BUG_P3,72,2024-01-30 15:22:00,0,1,0
TICK_000088,2024-03-26 14:19:00,2024-03-29 00:19:00,opportunity_update,P3,sales_manager,Sales Ops,Sales Ops,manual_picklist,,0,0.0,2.4,58.0,SLA_OPPORTUNITY_UPDATE_P3,72,2024-03-29 14:19:00,1,0,0
TICK_000089,2024-07-29 09:58:00,2024-07-30 05:28:00,quote_order_issue,P2,sales_manager,Order Ops,Order Ops,manual_picklist,,0,0.0,3.0,19.5,SLA_QUOTE_ORDER_ISSUE_P2,24,2024-07-30 09:58:00,1,0,0
TICK_000090,2024-08-16 00:20:00,2024-08-16 20:02:00,account_ownership,P2,sales_development,Sales Ops,Sales Ops,manual_picklist,,0,0.0,3.5,19.7,SLA_ACCOUNT_OWNERSHIP_P2,24,2024-08-17 00:20:00,1,0,0
TICK_000091,2024-04-29 05:04:00,2024-05-01 07:34:00,opportunity_update,P4,sales_manager,Sales Ops,Sales Ops,manual_picklist,,0,0.0,13.9,50.5,SLA_OPPORTUNITY_UPDATE_P4,120,2024-05-04 05:04:00,1,0,0
TICK_000092,2024-08-08 12:22:00,2024-08-12 00:22:00,automation_bug,P3,marketing_ops,Sales Ops,CRM Eng,manual_picklist,,1,15.0,9.4,84.0,SLA_AUTOMATION_BUG_P3,72,2024-08-11 12:22:00,0,1,0
TICK_000093,2024-08-18 14:31:00,2024-08-24 07:25:00,account_ownership,P4,marketing_ops,Sales Ops,Sales Ops,manual_picklist,,0,0.0,9.4,136.9,SLA_ACCOUNT_OWNERSHIP_P4,120,2024-08-23 14:31:00,0,1,0
TICK_000094,2024-04-16 04:05:00,2024-04-19 04:29:00,opportunity_update,P3,sales_manager,Sales Ops,Sales Ops,manual_picklist,,0,0.0,6.0,72.4,SLA_OPPORTUNITY_UPDATE_P3,72,2024-04-19 04:05:00,0,1,0
TICK_000095,2024-09-03 01:18:00,2024-09-06 16:54:00,contracting_issue,P3,sales_manager,CRM Eng,Order Ops,manual_picklist,,1,19.3,13.5,87.6,SLA_CONTRACTING_ISSUE_P3,72,2024-09-06 01:18:00,0,1,0
TICK_000096,2024-03-20 00:09:00,2024-03-20 17:32:59,reporting_request,P2,finance,Sales Ops,Sales Ops,manual_picklist,,0,0.0,1.5,17.4,SLA_REPORTING_REQUEST_P2,24,2024-03-21 00:09:00,1,0,0
TICK_000097,2024-03-06 15:30:00,2024-03-09 04:54:00,user_access,P3,sales_development,CRM Eng,CRM Eng,manual_picklist,,0,0.0,9.3,61.4,SLA_USER_ACCESS_P3,72,2024-03-09 15:30:00,1,0,0
TICK_000098,2024-07-06 00:43:00,2024-07-08 00:13:00,forecasting_support,P2,sales_ops,Order Ops,Sales Ops,manual_picklist,,1,31.3,16.9,47.5,SLA_FORECASTING_SUPPORT_P2,24,2024-07-07 00:43:00,0,1,0
TICK_000099,2024-06-23 11:58:00,2024-06-26 10:28:00,field_sync_issue,P3,sales_rep,CRM Eng,CRM Eng,manual_picklist,,0,0.0,6.3,70.5,SLA_FIELD_SYNC_ISSUE_P3,72,2024-06-26 11:58:00,1,0,0
TICK_000100,2024-02-08 07:23:00,2024-02-09 14:11:00,field_sync_issue,P2,sales_rep,CRM Eng,CRM Eng,manual_picklist,,0,0.0,3.1,30.8,SLA_FIELD_SYNC_ISSUE_P2,24,2024-02-09 07:23:00,0,1,0
TICK_000101,2024-08-16 04:51:00,2024-08-19 11:21:00,reporting_request,P3,sales_rep,Sales Ops,Sales Ops,manual_picklist,,0,0.0,10.1,78.5,SLA_REPORTING_REQUEST_P3,72,2024-08-19 04:51:00,0,1,0
TICK_000102,2024-02-24 18:12:00,2024-02-26 05:36:00,account_ownership,P3,sales_rep,Sales Ops,Sales Ops,manual_picklist,,0,0.0,3.0,35.4,SLA_ACCOUNT_OWNERSHIP_P3,72,2024-02-27 18:12:00,1,0,0
TICK_000103,2024-08-08 13:46:00,2024-08-10 17:04:00,lead_routing,P3,sales_rep,Sales Ops,Sales Ops,manual_picklist,,0,0.0,8.9,51.3,SLA_LEAD_ROUTING_P3,72,2024-08-11 13:46:00,1,0,0
TICK_000104,2024-01-03 00:33:00,2024-01-06 04:09:00,forecasting_support,P3,sales_rep,Sales Ops,Sales Ops,manual_picklist,,0,0.0,4.8,75.6,SLA_FORECASTING_SUPPORT_P3,72,2024-01-06 00:33:00,0,1,0
TICK_000105,2024-08-06 08:45:00,2024-08-10 16:39:00,field_sync_issue,P3,sales_ops,CRM Eng,CRM Eng,manual_picklist,,0,0.0,7.3,103.9,SLA_FIELD_SYNC_ISSUE_P3,72,2024-08-09 08:45:00,0,1,0
TICK_000106,2024-08-03 14:45:00,2024-08-07 09:51:00,data_quality,P4,finance,Sales Ops,Sales Ops,manual_picklist,,0,0.0,6.6,91.1,SLA_DATA_QUALITY_P4,120,2024-08-08 14:45:00,1,0,0
TICK_000107,2024-08-01 19:31:00,2024-08-02 22:25:00,territory_assignment,P2,sales_manager,Sales Ops,Sales Ops,manual_picklist,,0,0.0,3.9,26.9,SLA_TERRITORY_ASSIGNMENT_P2,24,2024-08-02 19:31:00,0,1,0
TICK_000108,2024-07-01 04:15:00,2024-07-03 12:39:00,account_ownership,P3,sales_rep,Sales Ops,Sales Ops,manual_picklist,,0,0.0,3.1,56.4,SLA_ACCOUNT_OWNERSHIP_P3,72,2024-07-04 04:15:00,1,0,0
TICK_000109,2024-05-09 05:31:00,2024-05-13 00:31:00,data_quality,P3,sales_development,Order Ops,Sales Ops,manual_picklist,,1,26.9,16.5,91.0,SLA_DATA_QUALITY_P3,72,2024-05-12 05:31:00,0,1,0
